Name,Place,Kind,latitude,longitude,
Ivy Room,"860 San Pablo Ave, Albany, CA 94706",Venue,37.8904419,-122.2992009,
Benicia Youth Center,"1135 Church St, Benicia, CA 94510",Hangout,38.06398991921821,-122.1765724,
Purple House,"5716 Genoa Street, Oakland, CA",Punk House,37.8423145,-122.272066,
Practice Pad,"526 20th Street, Oakland, CA",Hangout,37.810225646464644,-122.273098,
Cloyne Court,"2600 Ridge Rd, Berkeley, CA 9470",Venue,37.876055199999996,-122.2576258,
The Compound,"1401 16th Street San Francisco, CA",Punk House,37.766099,-122.400903,
Keystone,"260 California Avenue, Palo Alto, CA",Venue,37.4278108,-122.143823,
Dancing Dog,"1500 Park Ave, Emeryville, CA 94608",Studio,37.8312025,-122.2897066,
Sergay's Recording Emporium,"West Berkeley, CA",Studio,37.8689508,-122.2968266,
Sound and Vision,"684 Indiana St., San Francisco, CA",Studio,37.76185814285714,-122.3916671,
Dangerous Rhythm,"3700 Fruitvale Avenue, Oakland, CA",Studio,37.80292,-122.215043,
Art of Ears (1986-1993),"Fell Street at Divisadero Street, San Francisco, CA",Studio,37.77416487002543,-122.4378587,
Art of Ears (1993-),"21087 Cabot Blvd STE 6, Hayward, CA 94545",Studio,37.64766151073702,-122.1377946,
I-Beam,"1748 Haight Street, San Francisco, CA",Venue,37.7696046,-122.4510825,
Dolores Park,"Dolores St &, 19th St, San Francisco, CA 94114",Venue,37.7600692,-122.4238274,
Paradigm Studios,"9020 San Leandro, Oakland, CA",Venue,37.74421905743991,-122.1859719,
Masonic Temple,"707 Marin Street, Vallejo, CA",Venue,38.102342428571426,-122.2567104,
Alternative Tentacles,"1501 Powell St, Emeryville, CA 94608",Label,37.8389115,-122.2913402,
Alternative Tentacles,"184 Clipper Street, San Francisco, CA",Label,37.7493091,-122.4292355,
Berkeley Free Clinic,"2339 Durant Ave, Berkeley, CA 94704",Support,37.86742421860961,-122.2627398,
Planned Parenthood,"320 El Cerrito Plaza, El Cerrito, CA 94530",Support,37.89931583171375,-122.2983499,
Food Not Bombs East Bay Chapter,"2700 Dwight Way, Berkeley, CA 94704",Support,37.865664,-122.253791,
Local #510 Sign and Display Union,"400 Talbert St, Daly City, CA 94014",Support,37.706058999999996,-122.4087873,
Nexus,"2707 8th St., Berkeley, CA",Venue,37.85703745057207,-122.2917908,
College of Marin,"835 College Ave, Kentfield, CA 94904",Education,37.953256086553054,-122.5491337,
Nana,"Market Street, San Francisco, CA",Retail,37.776983638613224,-122.4168578,
Sh-Boom,"Market and 12th Street, San Francisco, CA",Retail,37.77418634717551,-122.4201922,
Bandshell / Music Concourse at Golden Gate Park,"Music Concourse Dr, San Francisco, CA",Venue,37.769722407976715,-122.4686895,
Oasis,"298 11th St, San Francisco, CA 94103",Venue,37.771914699999996,-122.4144356,
Great American Music Hall,"859 O'Farrell St, San Francisco, CA 94109",Venue,37.7847659,-122.4188356,
Club Generic,"236 Leavenworth St, San Francisco, CA 94102",Venue,37.7833314,-122.4139116,
Club Nine,"399 9th St, San Francisco, CA 94103",Venue,37.77282065,-122.4100022,
Roxie Theater,"3117 16th St, San Francisco, CA 94103",Venue,37.764809063716356,-122.4223096,
Attitude Gallery,"1838 15th St, San Francisco, CA 94103",Art Gallery,37.76628425,-122.4249018,
Poetry in the Pit / Gartland Pit,"16th St & Valencia St, San Francisco, CA 94103",Venue,37.7650236,-122.4217015,
